Rank,SMILES,Mean_pIC50_Predicted,MW,LogP,HBD,HBA,QED,SA_Score,Ro5_Violations
55,CCCCCC1C2C(CCCCCN3CC3N3CC3CCC3CC3CC3CCNC4C(C)C34)C12,5.103,467.79,6.0,1,3,0.222,5.56,1
56,CCC1C2C1C2C1C2C(CCCCCCCC3CC3CC34CN3CC3C(C)C34)C21,5.101,393.66,6.09,0,1,0.286,5.51,1
57,CCC1C2C(CC3CC3CC3CC3CCCCC3CC3CC34CC3CC3C(C)C34)C12,5.092,406.7,7.82,0,0,0.29,5.79,1
58,CCCC1C2C(CCCCCCCCC3CN3CCC3CC3CC3CCCC4C(C)C34)C12,5.074,439.77,8.18,0,1,0.173,5.02,1
59,CCCCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC(CCC)CCCF)C12,5.072,458.79,10.01,0,0,0.159,5.56,1
60,CCCC1C2C(CCCCCCN3CC34CC4CCC3CC3CC3CCNC4C(C)C34)C12,5.069,438.74,6.35,1,2,0.251,6.06,1
61,CC1C2CCCC(CC3CC3CCC3CC34CC4CNCCCCC(F)CCCCCCON)C12,5.068,490.79,7.44,2,3,0.146,5.76,1
62,CCCCC1CC1C1C2C(CCCCC3C4C(CCCC5C6C5C65CC5)C34)C12,5.062,378.64,7.18,0,0,0.298,5.49,1
63,CCC1C2C(CCCCCC3C4N3C43CC3CCC3CC3CC34CN3CC3C(C)C34)C12,5.059,420.69,5.42,0,2,0.307,6.54,1
64,CCCCC1C2C(CCCCCCCCC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.056,452.81,9.91,0,0,0.193,5.01,1
65,CCC1C2C(CCCCCN3C4C3C43CC3CCC3CC3CC3CCCC4C(F)C34)C12,5.047,425.68,6.71,0,1,0.248,6.05,1
66,CCCC(CCCF)CC1CC1CCC1CC1CCCCCCCCC1C2C(CC)C12,5.037,432.75,9.62,0,0,0.168,4.74,1
67,CCCC(CCCF)CC1CC1CCC1CC12CC2CCCCCCC1C2C(CCC)C12,5.029,444.76,9.62,0,0,0.174,5.61,1
68,CC1C2C(CC3CC3CC3CC3CCCCC3CC3CC34CC3CC3C(C)C34)C12,5.018,392.67,7.43,0,0,0.321,5.78,1
69,CCCCC(Cl)CCCCCC1CC1CCCCC1CC1CC12CC1OC1C(C)C12,5.003,435.14,8.38,0,1,0.175,5.16,1
70,CCCCCCNCC1CC1CCC1CC12C1C(CCCCCC3C4C(CC)C34)C12,4.965,411.72,7.31,1,1,0.247,5.3,1
71,CCC1C2C(CCCCCCCCC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,4.958,424.76,9.13,0,0,0.23,5.03,1
72,CCC1C2C(CCCCCCCCC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,4.958,424.76,9.13,0,0,0.23,5.03,1
73,CC1C2C(CCCCCC3CC3CCCCN3CC3NC34NC3CC3C(F)C34)C12,4.929,401.61,4.14,2,3,0.36,5.71,0
74,CCCCCCCC(F)CCCCCCCCC1CC1CCC1CC1CC1CCCC2C(C)C12,4.883,474.83,10.93,0,0,0.154,4.72,1
75,OCCCC1C2C(CCCCCCC3CC34CC4CCC3NC3CC(CCF)CCCF)C12,4.863,465.71,6.85,2,2,0.152,5.92,1
76,CCC1C2C(CCCCCCC3CC34CC4CCC3CN3CC3CNCC4C(F)C34)C12,4.86,428.68,5.52,1,2,0.307,6.02,1
77,CCCCC1C2C(CCCCNNCCC3CC3CNC3CC3CCC3C(C)C3CCF)C12,4.85,461.75,5.96,3,3,0.155,5.39,1
78,CCCCC1CC1CC1CC1CCCCC1C2C(C3CC3CC3C4C(CC)C34)C12,4.845,394.69,7.82,0,0,0.263,5.25,1
79,CC1C2CNCC(CCCCCCC3CC3CCCCCCCCC3C4C(CCCCO)C34)C12,4.845,471.81,7.84,2,2,0.177,4.77,1
80,CCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.837,422.74,8.74,0,0,0.26,5.86,1
81,CCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.837,422.74,8.74,0,0,0.26,5.86,1
82,CCCCCCC1C2C(CCCCCNC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.818,479.84,8.87,1,1,0.205,5.79,1
83,CC1C2C1C2C1C2C(CCCCCCCC3CC3CC34CN3CC3C(C)C34)C21,4.811,379.63,5.7,0,1,0.329,5.49,1
84,CC1C2CCCC(CC3CC3CCC3CC34CC4NCCCCCC3C4C(C)C34)C12,4.787,409.7,6.92,1,1,0.345,5.87,1
85,CCCCC1C2C(CCCCCCCCC3CC3NCCCCCCCCCCC(C)F)C12,4.778,463.81,9.64,1,1,0.14,4.14,1
86,CCCC1C2C(CCCCNCC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.772,437.76,7.55,1,1,0.277,5.93,1
87,CCCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.758,436.77,9.13,0,0,0.238,5.87,1
88,CCCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3CCCC4C(C)N34)C12,4.746,463.79,8.32,0,1,0.174,5.91,1
89,CCCCC1C2C(CCCCCCCCC3CC3CCC3CC3CC3CCNC4C(C)C34)C12,4.733,453.8,8.48,1,1,0.218,5.16,1
90,CC1C2CCCC(CC3CC3CNCC3CC3CCCCCCC3C4C(C)C34)C12,4.714,397.69,6.77,1,1,0.338,5.07,1
91,CCC1C2C(CCCCCCCCC3CC3CCCC(Cl)CC3CCCC4C(C)C34)C12,4.644,447.19,9.5,0,0,0.163,4.93,1
92,CC1C2CCCC(CN3CC3CCC3CC3CCCCCCCCC3C4C(CCCN)C34)C12,4.639,454.79,7.12,1,2,0.187,5.05,1
93,CCC1C2C1C2C1C2C(CCCCCCCC3CC3CC3CCC4C(C)C34)C21,4.639,380.66,7.43,0,0,0.309,5.07,1
94,CCCCCC1C2C(CCCNCC(F)CC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,4.628,471.79,8.28,1,1,0.21,5.4,1
95,CCCC1CC1CCOCCCCNC1CC1NCCCCCC1CCNC2C(C)C12,4.628,433.73,4.73,3,4,0.273,4.77,0
96,CCCCCC1CC1CCCCCCCNC1CC1CCCCCCC1CCCC2C(C)C12,4.622,457.83,9.54,1,1,0.179,4.47,1
97,CCCC1C2C(CCCCCCN3CC34CC4CCC3CC3CCCCCCC(C)F)C12,4.58,445.75,8.42,0,1,0.142,5.46,1
98,CCC1C2C(CCCCCCC3CC34CC4NCC3CC3CC3CCCC4C(C)C34)C12,4.577,423.73,7.31,1,1,0.306,5.86,1
99,CCCNCCCCN1CC1CCC1CC1CCCCCCCCC1C2C(CC)N12,4.575,417.73,5.83,1,3,0.198,4.54,1
100,CC1C2CN3CC3(NC3CC3CCC3CC34C3C(NCCCCC5C6C(CCCCO)C56)C34)C12,4.546,465.73,3.7,3,4,0.255,6.41,0
101,CCNC1C2C(CCCCCNC3CC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,4.505,438.74,6.26,2,2,0.313,5.94,1
102,CCCCCCCCCCCCCCNC1CC1CCNCCCCC1C(C)C1CCF,4.49,452.79,8.06,2,2,0.145,4.11,1
103,CCC1C2C(CCCCCC3CC3CCCNC3CC3NC34CC3CC3C(C)C34)C12,4.488,410.69,5.62,2,2,0.363,5.5,1
104,CCC1C2C(CCCC3C4C(CCCCC5CC5CC5CCC6C(C)C56)C34)C12,4.472,380.66,7.43,0,0,0.309,5.32,1
105,CCCCC(Cl)CC1CC1CC1CC1CCCCC1NC1CC(C)C1C(C)C1NF,4.453,441.12,6.87,2,2,0.119,5.64,1
106,CCC1C2C(CCCCCCCCN3CC3CCCCCCCC3C(C)C3NC)C12,4.443,416.74,6.89,1,2,0.182,4.51,1
107,CCC1C2C(CC3CC3CC3CC3CCCCC3CC3CC34NC3CC3C(C)C34)C12,4.428,407.69,6.52,1,1,0.288,5.91,1
108,CCC1C2C(CCCNCNCCCCN3C4C(C5CCC6C(C)C65)C43)C12,4.428,371.61,3.56,2,3,0.294,5.08,0
109,CCC1C2C(CCCCCCCCC3CC3CCC3CC3CC3CCNC4C(C)C34)C12,4.422,425.75,7.7,1,1,0.265,5.18,1
110,CC1CC1CCCOCC1CN1CCC1CC12CC2CCCCCCC1C2C(CCCN)C12,4.417,456.76,6.11,1,3,0.188,5.59,1
111,CCCCCCCC1CN1CCCC1C2C(CCCCC3C4C(C)C34)C12,4.415,357.63,6.38,0,1,0.243,4.44,1
112,CC1C2CCC(CC3CC3CCCCC3CC3CCCCCC3C4C(C)C34)C12,4.415,382.68,7.96,0,0,0.283,5.02,1
113,CC1C2CCC(CC3CC3CCC3C4C56C(CCCCCC7C8C(C)C78)C5C346)C12,4.414,390.66,7.04,0,0,0.332,6.54,1
114,CCCCC1C2C(CCCCCCC3CC34CC4CCC3CN3CC3CCNC4C(C)C34)C12,4.368,452.77,6.74,1,2,0.218,5.94,1
115,CCCC1C2C(CCCCCCCCC3CC3CCCCCCC3CCCC4C(C)C34)C12,4.353,440.8,10.06,0,0,0.186,4.62,1
116,CCCCC1C2C(CCCCCCCCC3CC3CCCCCCC3CCCC4C(C)C34)C12,4.296,454.83,10.45,0,0,0.17,4.6,1
117,CCCCCC1C2C(CCCCCCCCC3CC3CCCCNCCN3C(C)C3CCF)C12,4.265,476.81,8.01,1,2,0.119,4.72,1
118,CCCCC(F)CCCCCCCCCC1CC1CCC1CC1CC1CCCC2C(Cl)C12,4.252,467.2,10.12,0,0,0.139,4.84,1
119,CCCC1CC1CCCCCCCCN1CC1CCCCNCC1CCCC2C(N)C12,4.225,431.75,5.97,2,3,0.207,4.56,1
120,CCCCCCC(F)CCCCCCCCC1CC1CCCCCNC1CCCC2C(C)C12,4.225,463.81,9.64,1,1,0.167,4.33,1
121,CCCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC3NCCC4C(C)C34)C12,4.208,437.76,7.7,1,1,0.275,6.02,1
122,CCC1C2C(CCCCCCCCC3CC3CCCCCCC3CCCC4C(N)C34)C12,4.208,427.76,8.36,1,1,0.232,4.67,1
123,CCC1C2C(CCCCCCC3CC34CC4CCC3CC3CCC3C(C)C3CCF)C12,4.206,428.72,8.69,0,0,0.216,5.89,1
124,CCCCCC1C2C(CCCCCCC3CC34CC4CCCC(F)CCCCCCC(C)F)C12,4.175,478.8,10.63,0,0,0.136,5.24,1
125,CCCCCCCCCCCCCCCC1CC1CCCCCCC(CCF)C1CC1C,4.158,450.81,11.08,0,0,0.128,3.96,1
126,CC1C2CCCC(CCCCCCC3CN3CCCCCCCCCCCCCCN)N12,4.155,447.8,7.28,1,3,0.148,4.06,1
127,CC1C2CCCC(CCCCCCC3NC3NCCCCCCCC3CC3CCCN)C12,4.144,445.78,6.61,3,3,0.155,4.77,1
128,CC1C2CCCC(SC3CC3CCC3CC3CCCCCCCCC3C4C(CCCF)C34)C12,4.144,474.81,9.32,0,1,0.189,5.31,1
129,CCCCC1CC1CC1CC1CCCCC1CC1CCCCCC1C2C(CC)C12,4.111,398.72,8.89,0,0,0.215,4.7,1
130,CCCCC1CC1CC1CC1CCNCC1CC1CCCCCC1C2C(CC)C12,4.111,399.71,7.31,1,1,0.253,4.82,1
131,CCCC(Cl)CCCNCCNCCC1CC1CCCCCCC1CNCC2C(C)C12,4.024,454.19,5.82,3,3,0.17,4.65,1
132,CCCCCCCC1CC1CCCCC1C2C(C3CC3CC3C4C(C)C34)C12,3.965,368.65,7.57,0,0,0.277,4.8,1
133,CCCC1CC1CCCCCCCCC1CC1CCCCCCC1CNCC2C(C)C12,3.953,429.78,8.62,1,1,0.215,4.57,1
134,CCCCCCC1C2C(NCCCC3C4C(CCCC5C6C(CC)C56)C34)C12,3.94,369.64,6.14,1,1,0.342,4.8,1
135,CC1CC1CC1C2C(CCCCC3C4C(CCCC5C6C5C65CC5)C34)C12,3.939,350.59,6.4,0,0,0.378,5.66,1
136,CCCCCC1CC1CCCCCCCOC1CC1CCCCCCC1CCCC2C(C)C12,3.873,458.82,9.97,0,1,0.165,4.48,1
137,CCCCCCC1C2C(NCCCC3C4C5C(CCC6C7C(F)C67)C345)C12,3.872,357.56,5.06,1,1,0.454,5.83,1
138,CCCC1CC1CCNCCCCCC1CC1CCCCCCC1CCCC2C(C)C12,3.87,429.78,8.62,1,1,0.215,4.53,1
139,CCC1C(C)C1CCC1CC1NCC1CC12CC2CCCCCCC1C2C(CC)C12,3.869,411.72,7.31,1,1,0.279,5.79,1
140,CCCCCC1C2C(CCCCCCCCC3CC3CCCCCCC3NNCC4C(C)C34)C12,3.83,470.83,8.51,2,2,0.174,4.9,1
141,CCC1C2C(CCCCCCC3CC34CC4CCC3CC3CC3NCCC4C(F)C34)C12,3.784,427.69,7.01,1,1,0.312,6.1,1
142,CCCCC(Cl)CCCCCCCCCC1CC1CCCCOCC1CCCC2C(C)C12,3.767,467.22,9.8,0,1,0.128,4.38,1
143,CCCCCCC(F)CCCCCCCCCC1CC1CCCCCCC1OCCC2C(C)C12,3.766,478.82,10.45,0,1,0.141,4.38,1
144,CCNCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3NC34CC3CC3C(C)C34)N12,3.766,449.73,4.67,2,3,0.298,6.5,0
145,CCCNCCC1C2C(CCCCC3C4C(CCCC5C6C(C)C56)C34)C12,3.762,355.61,5.6,1,1,0.4,4.84,1
146,CCC1C(C)C1CCC1CC1CCC1CC12CC2CCCCCCC1C2C(C)C12,3.755,396.7,8.35,0,0,0.259,5.74,1
147,CC(CC1CC1CCCCC1C2C(NCCC3C4C(C)C34)C12)C1CC1C,3.733,355.61,5.6,1,1,0.449,5.2,1
148,CCC1C(C)C1CCC1CC1CCNCOCCCCCCCCC1C2C(CC)C12,3.712,417.72,7.28,1,2,0.176,4.76,1
149,CCCC1CC1CCCCCCCCC1CC1CCCCCCC1CCCC2C(C)C12,3.66,428.79,10.2,0,0,0.19,4.41,1
150,CCCC1CC1CCCCCCCCC1CC1CCCCCCC1CCCC2C(C)C12,3.659,428.79,10.2,0,0,0.19,4.41,1
151,CCCC1CC1CCCCCCCCC1CC1CCCCCCC1CCCC2C(C)C12,3.659,428.79,10.2,0,0,0.19,4.41,1
152,CCC1C2C(CCCC3C4C(CCCCN5C6C(C7CCC8C(C)C87)C65)C34)C12,3.608,379.63,5.7,0,1,0.329,5.38,1
153,CCCCCCCC1CC1CCCNN1CC1CC1CC1CC1C2C(CC)C12,3.605,386.67,6.27,1,2,0.248,5.07,1
154,CCCC(Cl)CCCNCCC1CC1CCCCC1CC1CC1CCC2C(C)C12,3.604,422.14,7.67,1,1,0.199,4.89,1
155,CCCCCCCC1CC1CCCCCCCCC1CC1CCCCCCC1CCCC2C(C)C12,3.556,484.9,11.76,0,0,0.134,4.32,1
156,CC1CC1CCCN1C2C(CCCCCCCCCCC3C4C5CC354)C21,3.514,355.61,6.27,0,1,0.247,5.15,1
157,CCC1C(F)C1CCC1CC1CCC1CC12CC2CCCCCCC1C2C(CC)C12,3.394,414.69,8.45,0,0,0.236,5.87,1
158,CC1C2CCCC(CC3CC3CCC3CC34CC4CCCCCCC3C4C3N4NCOCO)C12,3.285,470.74,5.95,2,4,0.166,6.18,1
159,CCCCC1CC1CC1CC1CCCCC1CC1CC1CC1CC1C2C(C)C12,3.162,382.68,7.96,0,0,0.267,5.11,1
160,CC1CC1C1(CC2CC2CCCCC2CC2CC2CC2CC2C3C(C4CC4)C23)CN1F,3.079,425.68,7.12,0,1,0.172,5.66,1
161,CCCNCCC1C2C(CCCCCCCC3C4C3C4C3C4C3C43CC3)C12,2.896,367.62,5.75,1,1,0.386,5.1,1
162,CCCCCCCCCCCCCCC1CC1CCCCCCC1CCCC2C(F)C12,2.894,434.77,10.44,0,0,0.167,4.06,1
163,CCCCCC1CC1CCCCCCCCC1CC1CCNCCCC1NCCC2C(C)C12,2.887,458.82,7.96,2,2,0.181,4.67,1
164,CCCCCCCC1CC1CCNCCC(F)CC1CC1CC1C2C(CC)C12,2.457,391.66,7.01,1,1,0.263,4.83,1
